avg_rating,bitdepth,bitrate,channels,description,duration,id,license,name,num_ratings,preview-hq-mp3,preview-hq-ogg,samplerate,tags,type,url,username
3.5,8,176,1,Slot machine sounds.,4.0,69682,http://creativecommons.org/licenses/sampling+/1.0/,coinWin.wav,7,https://www.freesound.org/data/previews/69/69682_866625-hq.mp3,https://www.freesound.org/data/previews/69/69682_866625-hq.ogg,22050.0,machine payoff slot start stop,wav,https://www.freesound.org/people/lukaso/sounds/69682/,lukaso
4.0,24,2117,2,"car door slam with reverb, pitch modification, eq",2.25,118712,http://creativecommons.org/licenses/by/3.0/,Estlack_doorslam_rvrb_3shrt.aif,1,https://www.freesound.org/data/previews/118/118712_813877-hq.mp3,https://www.freesound.org/data/previews/118/118712_813877-hq.ogg,44100.0,hydraulic machine machinery mech pneumatic robot,aif,https://www.freesound.org/people/estlacksensory/sounds/118712/,estlacksensory
3.875,24,2117,2,pneumatic drill with rattling sounds,4.0,118726,http://creativecommons.org/licenses/by/3.0/,Estlack_pneumatic_rattly_1.aif,4,https://www.freesound.org/data/previews/118/118726_813877-hq.mp3,https://www.freesound.org/data/previews/118/118726_813877-hq.ogg,44100.0,hydraulic machine machinery mech pneumatic robot,aif,https://www.freesound.org/people/estlacksensory/sounds/118726/,estlacksensory
4.14864864864865,0,689,1,"A computer beeping sound as it types.

<a href=""http://www.free-styler.co.uk"" rel=""nofollow"">http://www.free-styler.co.uk</a>",9.27454,42977,http://creativecommons.org/licenses/by/3.0/,DIGITAL TYPING.mp3,111,https://www.freesound.org/data/previews/42/42977_452420-hq.mp3,https://www.freesound.org/data/previews/42/42977_452420-hq.ogg,44100.0,army beep beeps computer digital fx old sound type typing,mp3,https://www.freesound.org/people/sidadrumbum/sounds/42977/,sidadrumbum
0.0,24,1128,1,see name and tags,14.0246,126950,http://creativecommons.org/licenses/by/3.0/,man walking away indoors with leather leathery shoes footsteps foley.wav,0,https://www.freesound.org/data/previews/126/126950_149596-hq.mp3,https://www.freesound.org/data/previews/126/126950_149596-hq.ogg,48000.0,away foley footsteps indoors leather leathery man shoes walking,wav,https://www.freesound.org/people/bulbastre/sounds/126950/,bulbastre
3.666666666666665,8,176,1,Slot machine sounds.,2.04045351474,69681,http://creativecommons.org/licenses/sampling+/1.0/,coinOut.wav,3,https://www.freesound.org/data/previews/69/69681_866625-hq.mp3,https://www.freesound.org/data/previews/69/69681_866625-hq.ogg,22050.0,machine payoff slot start stop,wav,https://www.freesound.org/people/lukaso/sounds/69681/,lukaso
4.32255520504732,16,1411,2,Howling wind storm effect created on Nord Lead Virtual Analog synthesizer. Sampled while twisting various parameter knobs.,40.4510204082,11863,http://creativecommons.org/licenses/sampling+/1.0/,nord_analog_howling_wind_storm.wav,634,https://www.freesound.org/data/previews/11/11863_32690-hq.mp3,https://www.freesound.org/data/previews/11/11863_32690-hq.ogg,44100.0,environmental-sounds-research howling noise nord sound-effects storm synthesizer analog wind,wav,https://www.freesound.org/people/medialint/sounds/11863/,medialint
3.97222222222222,16,1411,2,Walking near man digging hard surface with shovel rec by Zoom H2 rear,16.7167346939,77705,http://creativecommons.org/licenses/by-nc/3.0/,01205 shovel digging 2.wav,18,https://www.freesound.org/data/previews/77/77705_321967-hq.mp3,https://www.freesound.org/data/previews/77/77705_321967-hq.ogg,44100.0,background dig digging foley shovel,wav,https://www.freesound.org/people/Robinhood76/sounds/77705/,Robinhood76
4.38,16,705,1,Assorted sincere laughing from a man.,85.3883673469,44884,http://creativecommons.org/publicdomain/zero/1.0/,manlaugh.wav,75,https://www.freesound.org/data/previews/44/44884_43834-hq.mp3,https://www.freesound.org/data/previews/44/44884_43834-hq.ogg,44100.0,giggling chuckling foley giggle chuckle man laughs laughter male laugh,wav,https://www.freesound.org/people/sagetyrtle/sounds/44884/,sagetyrtle
0.0,16,717,2,"A peep followed by range of peeps going up in higher pitches.
In the background is a windy sound and rhythmic plops.

Made in Ableton Lives Operator.",60.0,102248,http://creativecommons.org/licenses/by-nc/3.0/,Fool Synth 17.flac,0,https://www.freesound.org/data/previews/102/102248_962697-hq.mp3,https://www.freesound.org/data/previews/102/102248_962697-hq.ogg,44100.0,ableton-live ladder-up machine operator rhythmic synth synthesizer synthetic,flac,https://www.freesound.org/people/Tobbarebble/sounds/102248/,Tobbarebble
0.0,16,689,1,Made this one simply with my mouth. No alterations at all.,6.66413,168130,http://creativecommons.org/licenses/by/3.0/,Buzz Whistle.wav,0,https://www.freesound.org/data/previews/168/168130_2632997-hq.mp3,https://www.freesound.org/data/previews/168/168130_2632997-hq.ogg,44100.0,man-made Buzz whistle long whoosh buzzy foley,wav,https://www.freesound.org/people/KristopherTiberiusHaven/sounds/168130/,KristopherTiberiusHaven
4.0,24,2250,2,"Near a lot of slot machines, air hockey gaming consoles, you name it, it was there.... and what a lot of noise they made.

Recorded with a Zoom H2",177.664,168104,http://creativecommons.org/licenses/by/3.0/,air hockey kids indoor playground 2012-10-18.wav,1,https://www.freesound.org/data/previews/168/168104_646701-hq.mp3,https://www.freesound.org/data/previews/168/168104_646701-hq.ogg,48000.0,talk scream laughter happy games Herning air inside yelling kids kid chatter game Denmark Zoom-H2 play playground hockey machine Dk machines slot-machine laugh indoor people air-hockey slotmachine ding,wav,https://www.freesound.org/people/Kyster/sounds/168104/,Kyster
5.0,16,689,1,A collection of interesting sounds which I created by uploading simple patterned image files onto Audacity a couple years back. WARNING: it's quite loud.,36.4805,167278,http://creativecommons.org/licenses/by/3.0/,rawdata noise,1,https://www.freesound.org/data/previews/167/167278_17361-hq.mp3,https://www.freesound.org/data/previews/167/167278_17361-hq.ogg,44100.0,computer data noise machine,wav,https://www.freesound.org/people/crescendo/sounds/167278/,crescendo
0.0,16,1378,2,One in of a set of ambient noises created with the Tweakbench Field VST plugin and the Illformed Glitch VST plugin. Loopable and suitable for background treatments.,50.62,156171,http://creativecommons.org/publicdomain/zero/1.0/,tb_field_tokyo.wav,0,https://www.freesound.org/data/previews/156/156171_593444-hq.mp3,https://www.freesound.org/data/previews/156/156171_593444-hq.ogg,44100.0,VST Ambient Glitch Illformed Field Tweakbench Noise,wav,https://www.freesound.org/people/movingplaid/sounds/156171/,movingplaid
0.0,0,1378,2,"Sci-Fi Futuristic Sound Effects From FutureSoundFX.com (Vol 8). These samples available from freesound.org are in mp3 format and for non commercial use only with credit to StoltingMediaGroup.com For a commercial license and high quality WAV format visit <a href=""http://www.futuresoundfx.com"" rel=""nofollow"">http://www.futuresoundfx.com</a>",17.3464,158841,http://creativecommons.org/licenses/by-nc/3.0/,futuresoundfx-706.mp3,0,https://www.freesound.org/data/previews/158/158841_2871314-hq.mp3,https://www.freesound.org/data/previews/158/158841_2871314-hq.ogg,44100.0,Film Radio Future Alien Futuristic effects Broadcasting stolting-media-group Recording fx Music-Production Video Screen media TV space Remixing alien-sound-effects Sound-Effects pod-Cast DVD Home-Videos,mp3,https://www.freesound.org/people/stoltingmediagroup/sounds/158841/,stoltingmediagroup
0.0,16,691,1,"Simple, unedited recording of me using my automatic pencil sharpener.",12.6682,157737,http://creativecommons.org/licenses/by/3.0/,Drill_raw.wav,0,https://www.freesound.org/data/previews/157/157737_2567191-hq.mp3,https://www.freesound.org/data/previews/157/157737_2567191-hq.ogg,44100.0,mechanical drill machinery machine sharpener tool power gear rotate pencil,wav,https://www.freesound.org/people/Statyk/sounds/157737/,Statyk
